Name,new_name
VERIZON COMMS INCO 1991 8 3/4% 01/11/21 S - CMPB (~U$) - COMPOSITE PR BID,VERIZON BID
VERIZON COMMS INCO 1991 8 3/4% 01/11/21 S - CMPA (~U$) - COMPOSITE PR ASK,VERIZON ASK
THE BOEING COMPANY 1991 8 5/8% 15/11/31 S - CMPB (~U$) - COMPOSITE PR BID,THE BOEING COMPANY BID
THE BOEING COMPANY 1991 8 5/8% 15/11/31 S - CMPA (~U$) - COMPOSITE PR ASK,THE BOEING COMPANY ASK
TEXACO CAP.INCO. 1991 8 5/8% 15/11/31 S - CMPB (~U$) - COMPOSITE PR BID,TEXACO CAP.INCO. BID
TEXACO CAP.INCO. 1991 8 5/8% 15/11/31 S - CMPA (~U$) - COMPOSITE PR ASK,TEXACO CAP.INCO. ASK
FRONTIER SOUTHWEST 1991 8 1/2% 15/11/31 DEFAULT - CMPB (~U$) - COMPOSITE PR BID,FRONTIER SOUTHWEST BID
FRONTIER SOUTHWEST 1991 8 1/2% 15/11/31 DEFAULT - CMPA (~U$) - COMPOSITE PR ASK,FRONTIER SOUTHWEST ASK
FORD MOTOR COMPANY 1992 8 7/8% 15/01/22 S - CMPB (~U$) - COMPOSITE PR BID,FORD BID
FORD MOTOR COMPANY 1992 8 7/8% 15/01/22 S - CMPA (~U$) - COMPOSITE PR ASK,FORD ASK
MICHIGAN BE.TEL.CO. 1992 7.85% 15/01/22 S - CMPB (~U$) - COMPOSITE PR BID,MICHIGAN BE.TEL.CO. BID
MICHIGAN BE.TEL.CO. 1992 7.85% 15/01/22 S - CMPA (~U$) - COMPOSITE PR ASK,MICHIGAN BE.TEL.CO. ASK
EL PASO NTRL.GAS 1992 8 5/8% 15/01/22 S - CMPB (~U$) - COMPOSITE PR BID,EL PASO BID
EL PASO NTRL.GAS 1992 8 5/8% 15/01/22 S - CMPA (~U$) - COMPOSITE PR ASK,EL PASO ASK
VERIZON VIRGINIA 1992 7 7/8% 15/01/22 S - CMPB (~U$) - COMPOSITE PR BID,VERIZON BID
VERIZON VIRGINIA 1992 7 7/8% 15/01/22 S - CMPA (~U$) - COMPOSITE PR ASK,VERIZON ASK
LOCKHEED MARTIN 1992 9 1/8% 01/02/22 S - CMPB (~U$) - COMPOSITE PR BID,LOCKHEED MARTIN BID
LOCKHEED MARTIN 1992 9 1/8% 01/02/22 S - CMPA (~U$) - COMPOSITE PR ASK,LOCKHEED MARTIN ASK
COCA-COLA RFRS USA 1992 8 1/2% 01/02/22 S - CMPB (~U$) - COMPOSITE PR BID,COCA-COLA BID
COCA-COLA RFRS USA 1992 8 1/2% 01/02/22 S - CMPA (~U$) - COMPOSITE PR ASK,COCA-COLA ASK
FORD MOTOR COMPANY 1992 9.95% 15/02/32 P02/95 - CMPB (~U$) - COMPOSITE PR BID,FORD BID
FORD MOTOR COMPANY 1992 9.95% 15/02/32 P02/95 - CMPA (~U$) - COMPOSITE PR ASK,FORD ASK
TARGET CORPORATION 1992 8 7/8% 01/04/22 S - CMPB (~U$) - COMPOSITE PR BID,TARGET CORPORATION BID
TARGET CORPORATION 1992 8 7/8% 01/04/22 S - CMPA (~U$) - COMPOSITE PR ASK,TARGET CORPORATION ASK
TEXACO CAP.INCO. 1992 8 5/8% 01/04/32 S - CMPB (~U$) - COMPOSITE PR BID,TEXACO CAP.INCO. BID
TEXACO CAP.INCO. 1992 8 5/8% 01/04/32 S - CMPA (~U$) - COMPOSITE PR ASK,TEXACO CAP.INCO. ASK
COMCAST CAB COMMS 1992 10 1/8% 15/04/22 S - CMPB (~U$) - COMPOSITE PR BID,COMCAST BID
COMCAST CAB COMMS 1992 10 1/8% 15/04/22 S - CMPA (~U$) - COMPOSITE PR ASK,COMCAST ASK
TARGET CORPORATION 1992 8.8% 15/05/22 S - CMPB (~U$) - COMPOSITE PR BID,TARGET CORPORATION BID
TARGET CORPORATION 1992 8.8% 15/05/22 S - CMPA (~U$) - COMPOSITE PR ASK,TARGET CORPORATION ASK
VERIZON NJ.INCO. 1992 8% 01/06/22 S - CMPB (~U$) - COMPOSITE PR BID,VERIZON BID
VERIZON NJ.INCO. 1992 8% 01/06/22 S - CMPA (~U$) - COMPOSITE PR ASK,VERIZON ASK
DOW CAPITAL PLC 1992 8.64% 01/06/22 G - CMPB (~U$) - COMPOSITE PR BID,DOW BID
DOW CAPITAL PLC 1992 8.64% 01/06/22 G - CMPA (~U$) - COMPOSITE PR ASK,DOW ASK
COMCAST CAB COMMS 1992 9 7/8% 15/06/22 S - CMPB (~U$) - COMPOSITE PR BID,COMCAST BID
COMCAST CAB COMMS 1992 9 7/8% 15/06/22 S - CMPA (~U$) - COMPOSITE PR ASK,COMCAST ASK
LOCKHEED MARTIN 1992 9% 15/01/22 S - CMPB (~U$) - COMPOSITE PR BID,LOCKHEED MARTIN BID
LOCKHEED MARTIN 1992 9% 15/01/22 S - CMPA (~U$) - COMPOSITE PR ASK,LOCKHEED MARTIN ASK
TEXACO CAP.INCO. 1992 8% 01/08/32 S - CMPB (~U$) - COMPOSITE PR BID,TEXACO CAP.INCO. BID
TEXACO CAP.INCO. 1992 8% 01/08/32 S - CMPA (~U$) - COMPOSITE PR ASK,TEXACO CAP.INCO. ASK
THE BOEING COMPANY 1992 7.95% 15/08/24 P08/12 - CMPB (~U$) - COMPOSITE PR BID,THE BOEING COMPANY BID
THE BOEING COMPANY 1992 7.95% 15/08/24 P08/12 - CMPA (~U$) - COMPOSITE PR ASK,THE BOEING COMPANY ASK
COCA-COLA RFRS USA 1992 8% 15/09/22 S - CMPB (~U$) - COMPOSITE PR BID,COCA-COLA BID
COCA-COLA RFRS USA 1992 8% 15/09/22 S - CMPA (~U$) - COMPOSITE PR ASK,COCA-COLA ASK
OCCIDENT PTL CORP 1993 8 3/4% 15/01/23 S - CMPB (~U$) - COMPOSITE PR BID,OCCIDENT PTL CORP BID
OCCIDENT PTL CORP 1993 8 3/4% 15/01/23 S - CMPA (~U$) - COMPOSITE PR ASK,OCCIDENT PTL CORP ASK
LOCKHEED MARTIN 1993 8 3/8% 15/01/23 S - CMPB (~U$) - COMPOSITE PR BID,LOCKHEED MARTIN BID
LOCKHEED MARTIN 1993 8 3/8% 15/01/23 S - CMPA (~U$) - COMPOSITE PR ASK,LOCKHEED MARTIN ASK
HISTORIC TW INCO. 1993 9.15% 01/02/23 S - CMPB (~U$) - COMPOSITE PR BID,HISTORIC TW INCO. BID
HISTORIC TW INCO. 1993 9.15% 01/02/23 S - CMPA (~U$) - COMPOSITE PR ASK,HISTORIC TW INCO. ASK
CATERPILLAR INCO 1993 8% 15/02/23 S - CMPB (~U$) - COMPOSITE PR BID,CATERPILLAR INCO BID
CATERPILLAR INCO 1993 8% 15/02/23 S - CMPA (~U$) - COMPOSITE PR ASK,CATERPILLAR INCO ASK
WYETH LLC 1993 7 1/4% 01/03/23 S - CMPB (~U$) - COMPOSITE PR BID,WYETH LLC BID
WYETH LLC 1993 7 1/4% 01/03/23 S - CMPA (~U$) - COMPOSITE PR ASK,WYETH LLC ASK
DOW CHEMICAL CO 1993 7 3/8% 01/03/23 S - CMPB (~U$) - COMPOSITE PR BID,DOW BID
DOW CHEMICAL CO 1993 7 3/8% 01/03/23 S - CMPA (~U$) - COMPOSITE PR ASK,DOW ASK
PACIFIC BE.TEL.CO. 1993 7 1/8% 15/03/26 S - CMPB (~U$) - COMPOSITE PR BID,PACIFIC BE.TEL.CO. BID
PACIFIC BE.TEL.CO. 1993 7 1/8% 15/03/26 S - CMPA (~U$) - COMPOSITE PR ASK,PACIFIC BE.TEL.CO. ASK
UNION CARBIDE CORP. 1993 7 7/8% 01/04/23 S - CMPB (~U$) - COMPOSITE PR BID,UNION CARBIDE CORP. BID
UNION CARBIDE CORP. 1993 7 7/8% 01/04/23 S - CMPA (~U$) - COMPOSITE PR ASK,UNION CARBIDE CORP. ASK
THE BOEING COMPANY 1993 7 7/8% 15/04/43 S - CMPB (~U$) - COMPOSITE PR BID,THE BOEING COMPANY BID
THE BOEING COMPANY 1993 7 7/8% 15/04/43 S - CMPA (~U$) - COMPOSITE PR ASK,THE BOEING COMPANY ASK
BRISTOL-MR.SQUIBB 1993 7.15% 15/06/23 S - CMPB (~U$) - COMPOSITE PR BID,BRISTOL-MR.SQUIBB BID
BRISTOL-MR.SQUIBB 1993 7.15% 15/06/23 S - CMPA (~U$) - COMPOSITE PR ASK,BRISTOL-MR.SQUIBB ASK
FORD MOTOR COMPANY 1993 7 3/4% 15/06/43 S - CMPB (~U$) - COMPOSITE PR BID,FORD BID
FORD MOTOR COMPANY 1993 7 3/4% 15/06/43 S - CMPA (~U$) - COMPOSITE PR ASK,FORD ASK
THE BOEING COMPANY 1993 7 1/4% 15/06/25 S - CMPB (~U$) - COMPOSITE PR BID,THE BOEING COMPANY BID
THE BOEING COMPANY 1993 7 1/4% 15/06/25 S - CMPA (~U$) - COMPOSITE PR ASK,THE BOEING COMPANY ASK
TWDC ENTERPRISES 18 1993 7.55% 15/07/93 S - CMPB (~U$) - COMPOSITE PR BID,TWDC ENTERPRISES BID
TWDC ENTERPRISES 18 1993 7.55% 15/07/93 S - CMPA (~U$) - COMPOSITE PR ASK,TWDC ENTERPRISES ASK
THE COCA-COLA CO 1993 7 3/8% 29/07/93 S - CMPB (~U$) - COMPOSITE PR BID,COCA-COLA BID
THE COCA-COLA CO 1993 7 3/8% 29/07/93 S - CMPA (~U$) - COMPOSITE PR ASK,COCA-COLA ASK
COCA-COLA RFRS USA 1993 6 3/4% 15/09/23 S - CMPB (~U$) - COMPOSITE PR BID,COCA-COLA BID
COCA-COLA RFRS USA 1993 6 3/4% 15/09/23 S - CMPA (~U$) - COMPOSITE PR ASK,COCA-COLA ASK
DOW CHEMICAL CO 1993 7 3/4% 15/09/20 S - CMPB (~U$) - COMPOSITE PR BID,DOW BID
DOW CHEMICAL CO 1993 7 3/4% 15/09/20 S - CMPA (~U$) - COMPOSITE PR ASK,DOW ASK
LOCKHEED MARTIN 1993 7% 15/09/23 S - CMPB (~U$) - COMPOSITE PR BID,LOCKHEED MARTIN BID
LOCKHEED MARTIN 1993 7% 15/09/23 S - CMPA (~U$) - COMPOSITE PR ASK,LOCKHEED MARTIN ASK
WALMART INCO. 1993 6 3/4% 15/10/23 S - CMPB (~U$) - COMPOSITE PR BID,WALMART INCO. BID
WALMART INCO. 1993 6 3/4% 15/10/23 S - CMPA (~U$) - COMPOSITE PR ASK,WALMART INCO. ASK
THE BOEING COMPANY 1993 6 7/8% 15/10/43 S - CMPB (~U$) - COMPOSITE PR BID,THE BOEING COMPANY BID
THE BOEING COMPANY 1993 6 7/8% 15/10/43 S - CMPA (~U$) - COMPOSITE PR ASK,THE BOEING COMPANY ASK
TIME WARN.CAB.ENTS. 1993 8 3/8% 15/03/23 S - CMPB (~U$) - COMPOSITE PR BID,TIME WARNER CABLE BID
TIME WARN.CAB.ENTS. 1993 8 3/8% 15/03/23 S - CMPA (~U$) - COMPOSITE PR ASK,TIME WARNER CABLE ASK
JOHNSON & JOHNSON 1993 6.73% 15/11/23 S - CMPB (~U$) - COMPOSITE PR BID,JOHNSON & JOHNSON BID
JOHNSON & JOHNSON 1993 6.73% 15/11/23 S - CMPA (~U$) - COMPOSITE PR ASK,JOHNSON & JOHNSON ASK
THE LNA.LD.&.EXP. 1993 7.65% 01/12/23 S - CMPB (~U$) - COMPOSITE PR BID,THE LNA.LD.&.EXP. BID
THE LNA.LD.&.EXP. 1993 7.65% 01/12/23 S - CMPA (~U$) - COMPOSITE PR ASK,THE LNA.LD.&.EXP. ASK
TIME WARN.CAB.ENTS. 1994 8 3/8% 15/07/33 B - CMPB (~U$) - COMPOSITE PR BID,TIME WARNER CABLE BID
TIME WARN.CAB.ENTS. 1994 8 3/8% 15/07/33 B - CMPA (~U$) - COMPOSITE PR ASK,TIME WARNER CABLE ASK
THE BOEING COMPANY 1994 7 1/2% 15/08/42 S - CMPB (~U$) - COMPOSITE PR BID,THE BOEING COMPANY BID
THE BOEING COMPANY 1994 7 1/2% 15/08/42 S - CMPA (~U$) - COMPOSITE PR ASK,THE BOEING COMPANY ASK
LOCKHEED MARTIN 1994 8 3/8% 15/06/24 S - CMPB (~U$) - COMPOSITE PR BID,LOCKHEED MARTIN BID
LOCKHEED MARTIN 1994 8 3/8% 15/06/24 S - CMPA (~U$) - COMPOSITE PR ASK,LOCKHEED MARTIN ASK
THE P&G.CO. 1994 8% 01/09/24 P09/14 - CMPB (~U$) - COMPOSITE PR BID,P&G BID
THE P&G.CO. 1994 8% 01/09/24 P09/14 - CMPA (~U$) - COMPOSITE PR ASK,P&G ASK
ANADARKO PTL CORP 1995 7 1/4% 15/03/25 P03/00 - CMPB (~U$) - COMPOSITE PR BID,ANADARKO PTL CORP BID
ANADARKO PTL CORP 1995 7 1/4% 15/03/25 P03/00 - CMPA (~U$) - COMPOSITE PR ASK,ANADARKO PTL CORP ASK
BURLINGTON RES.LLC 1995 8.2% 15/03/25 S - CMPB (~U$) - COMPOSITE PR BID,BURLINGTON RES.LLC BID
BURLINGTON RES.LLC 1995 8.2% 15/03/25 S - CMPA (~U$) - COMPOSITE PR ASK,BURLINGTON RES.LLC ASK
COLGATE-PALMOLIVE 1995 7.6% 19/05/25 B - CMPB (~U$) - COMPOSITE PR BID,COLGATE-PALMOLIVE BID
COLGATE-PALMOLIVE 1995 7.6% 19/05/25 B - CMPA (~U$) - COMPOSITE PR ASK,COLGATE-PALMOLIVE ASK
UNION CARBIDE CORP. 1995 6.79% 01/06/25 P06/05 - CMPB (~U$) - COMPOSITE PR BID,UNION CARBIDE CORP. BID
UNION CARBIDE CORP. 1995 6.79% 01/06/25 P06/05 - CMPA (~U$) - COMPOSITE PR ASK,UNION CARBIDE CORP. ASK
UNION CARBIDE CORP. 1995 7 1/2% 01/06/25 S - CMPB (~U$) - COMPOSITE PR BID,UNION CARBIDE CORP. BID
UNION CARBIDE CORP. 1995 7 1/2% 01/06/25 S - CMPA (~U$) - COMPOSITE PR ASK,UNION CARBIDE CORP. ASK
LOCKHEED MARTIN 1995 7 5/8% 15/06/25 S - CMPB (~U$) - COMPOSITE PR BID,LOCKHEED MARTIN BID
LOCKHEED MARTIN 1995 7 5/8% 15/06/25 S - CMPA (~U$) - COMPOSITE PR ASK,LOCKHEED MARTIN ASK
ELI LILLY AND CO. 1995 7 1/8% 01/06/25 S - CMPB (~U$) - COMPOSITE PR BID,ELI LILLY AND CO. BID
ELI LILLY AND CO. 1995 7 1/8% 01/06/25 S - CMPA (~U$) - COMPOSITE PR ASK,ELI LILLY AND CO. ASK
DUKE EN.OHIO INCO. 1995 6.9% 01/06/25 P06/05 - CMPB (~U$) - COMPOSITE PR BID,DUKE BID
DUKE EN.OHIO INCO. 1995 6.9% 01/06/25 P06/05 - CMPA (~U$) - COMPOSITE PR ASK,DUKE ASK
GENERAL ELEC CO 1995 7 1/2% 21/08/35 S - CMPB (~U$) - COMPOSITE PR BID,GENERAL ELEC CO BID
GENERAL ELEC CO 1995 7 1/2% 21/08/35 S - CMPA (~U$) - COMPOSITE PR ASK,GENERAL ELEC CO ASK
PDMNT NATGS COIC 1995 7.4% 03/10/25 B - CMPB (~U$) - COMPOSITE PR BID,PDMNT NATGS COIC BID
PDMNT NATGS COIC 1995 7.4% 03/10/25 B - CMPA (~U$) - COMPOSITE PR ASK,PDMNT NATGS COIC ASK
BELLSOUTH TELECOM. 1995 7% 01/10/25 S - CMPB (~U$) - COMPOSITE PR BID,BELLSOUTH BID
BELLSOUTH TELECOM. 1995 7% 01/10/25 S - CMPA (~U$) - COMPOSITE PR ASK,BELLSOUTH ASK
BELLSOUTH TELECOM. 1995 7% 01/10/25 MBIA - CMPB (~U$) - COMPOSITE PR BID,BELLSOUTH BID
BELLSOUTH TELECOM. 1995 7% 01/10/25 MBIA - CMPA (~U$) - COMPOSITE PR ASK,BELLSOUTH ASK
EL PASO LLC 1995 7 3/4% 15/10/35 S - CMPB (~U$) - COMPOSITE PR BID,EL PASO BID
EL PASO LLC 1995 7 3/4% 15/10/35 S - CMPA (~U$) - COMPOSITE PR ASK,EL PASO ASK
INTL BUS MCHS CORP 1995 7% 30/10/25 S - CMPB (~U$) - COMPOSITE PR BID,INTL BUS MCHS CORP BID
INTL BUS MCHS CORP 1995 7% 30/10/25 S - CMPA (~U$) - COMPOSITE PR ASK,INTL BUS MCHS CORP ASK
INTL BUS MCHS CORP 1995 7% 30/10/45 S - CMPB (~U$) - COMPOSITE PR BID,INTL BUS MCHS CORP BID
INTL BUS MCHS CORP 1995 7% 30/10/45 S - CMPA (~U$) - COMPOSITE PR ASK,INTL BUS MCHS CORP ASK
FORD MOTOR COMPANY 1995 7 1/8% 15/11/25 S - CMPB (~U$) - COMPOSITE PR BID,FORD BID
FORD MOTOR COMPANY 1995 7 1/8% 15/11/25 S - CMPA (~U$) - COMPOSITE PR ASK,FORD ASK
BELLSOUTH TELECOM. 1995 5.85% 15/11/45 P11/00 - CMPB (~U$) - COMPOSITE PR BID,BELLSOUTH BID
BELLSOUTH TELECOM. 1995 5.85% 15/11/45 P11/00 - CMPA (~U$) - COMPOSITE PR ASK,BELLSOUTH ASK
BELLSOUTH TELECOM. 1995 7% 01/12/95 S - CMPB (~U$) - COMPOSITE PR BID,BELLSOUTH BID
BELLSOUTH TELECOM. 1995 7% 01/12/95 S - CMPA (~U$) - COMPOSITE PR ASK,BELLSOUTH ASK
EL PASO TEN PIPE 1995 7 1/4% 15/12/25 S - CMPB (~U$) - COMPOSITE PR BID,EL PASO BID
EL PASO TEN PIPE 1995 7 1/4% 15/12/25 S - CMPA (~U$) - COMPOSITE PR ASK,EL PASO ASK
MERCK & CO.INCO. 1996 6.3% 01/01/26 S - CMPB (~U$) - COMPOSITE PR BID,MERCK BID
MERCK & CO.INCO. 1996 6.3% 01/01/26 S - CMPA (~U$) - COMPOSITE PR ASK,MERCK ASK
THE P&G.CO. 1996 6.45% 15/01/26 S - CMPB (~U$) - COMPOSITE PR BID,P&G BID
THE P&G.CO. 1996 6.45% 15/01/26 S - CMPA (~U$) - COMPOSITE PR ASK,P&G ASK
ELI LILLY AND CO. 1996 6.77% 01/01/36 S - CMPB (~U$) - COMPOSITE PR BID,ELI LILLY AND CO. BID
ELI LILLY AND CO. 1996 6.77% 01/01/36 S - CMPA (~U$) - COMPOSITE PR ASK,ELI LILLY AND CO. ASK
HISTORIC TW INCO. 1996 6.85% 15/01/26 P01/03 - CMPB (~U$) - COMPOSITE PR BID,HISTORIC TW INCO. BID
HISTORIC TW INCO. 1996 6.85% 15/01/26 P01/03 - CMPA (~U$) - COMPOSITE PR ASK,HISTORIC TW INCO. ASK
COMCAST CAB COMMS 1996 7 7/8% 15/02/26 S - CMPB (~U$) - COMPOSITE PR BID,COMCAST BID
COMCAST CAB COMMS 1996 7 7/8% 15/02/26 S - CMPA (~U$) - COMPOSITE PR ASK,COMCAST ASK
BURLINGTON RES.LLC 1996 6 7/8% 15/02/26 S - CMPB (~U$) - COMPOSITE PR BID,BURLINGTON RES.LLC BID
BURLINGTON RES.LLC 1996 6 7/8% 15/02/26 S - CMPA (~U$) - COMPOSITE PR ASK,BURLINGTON RES.LLC ASK
LOCKHEED MARTIN 1996 7 3/4% 01/05/26 S - CMPB (~U$) - COMPOSITE PR BID,LOCKHEED MARTIN BID
LOCKHEED MARTIN 1996 7 3/4% 01/05/26 S - CMPA (~U$) - COMPOSITE PR ASK,LOCKHEED MARTIN ASK
LOCKHEED MARTIN 1996 7.2% 01/05/36 P05/08 - CMPB (~U$) - COMPOSITE PR BID,LOCKHEED MARTIN BID
LOCKHEED MARTIN 1996 7.2% 01/05/36 P05/08 - CMPA (~U$) - COMPOSITE PR ASK,LOCKHEED MARTIN ASK
VALERO ENERGY CORP. 1996 7.65% 01/07/26 P07/06 - CMPB (~U$) - COMPOSITE PR BID,VALERO ENERGY CORP. BID
VALERO ENERGY CORP. 1996 7.65% 01/07/26 P07/06 - CMPA (~U$) - COMPOSITE PR ASK,VALERO ENERGY CORP. ASK
FORD MOTOR COMPANY 1996 7 1/2% 01/08/26 S - CMPB (~U$) - COMPOSITE PR BID,FORD BID
FORD MOTOR COMPANY 1996 7 1/2% 01/08/26 S - CMPA (~U$) - COMPOSITE PR ASK,FORD ASK
INDIANA BELL TEL. 1996 7.3% 15/08/26 S - CMPB (~U$) - COMPOSITE PR BID,INDIANA BELL TEL. BID
INDIANA BELL TEL. 1996 7.3% 15/08/26 S - CMPA (~U$) - COMPOSITE PR ASK,INDIANA BELL TEL. ASK
ANADARKO PTL CORP 1996 7.73% 15/09/96 P09/26 - CMPB (~U$) - COMPOSITE PR BID,ANADARKO PTL CORP BID
ANADARKO PTL CORP 1996 7.73% 15/09/96 P09/26 - CMPA (~U$) - COMPOSITE PR ASK,ANADARKO PTL CORP ASK
